,Type,Domain
0,YouTube.com – druga pozycja też pokrywa się z trendami światowymi. Serwis do publikacji klipów wideo. Zawiera w sobie drugą najpopularniejszą wyszukiwarkę na świecie,youtube.com
1,Facebook.com – serwis społecznościowy służący do komunikacji i udostępniania zdjęć oraz wideo. To co widzą użytkownicy na tzw. tablicy jest uzależnione od ich preferencji i sieci znajomych. Ciągłe aktualizacje algorytmów utrzymują jego popularność w śród różnych grup wiekowych. Serwis zarabia na reklamach i udostępnianiu informacji o użytkownikach.,facebook.com
2,Allegro.pl – rodzimy serwis aukcyjny i najpopularniejszy rynek e-commerce w Polsce,allegro.pl
3,Google.pl – polska wersja wyszukiwarki Google.,google.pl
4,Wp.pl – portal internetowy,wp.pl
5,Onet.pl – serwis internetowy z wiadomościami,onet.pl
6,Interia.pl – portal internetowy podobny do WP i Onet.,interia.pl
7,Wikipedia.org – internetowa encyklopedia,wikipedia.org
8,Olx.pl – serwis ogłoszeniowy wywodzący się z dawnego serwisu tablica,olx.pl
9,Gazeta.pl – portal informacyjny (także zawierający usługę poczty e-mail),gazeta.pl
10,Librus.pl – serwis dotyczący usług elektronicznych dla edukacji,librus.pl
11,o2.pl – należący obecnie do Wirtualnej Polski,o2.pl
12,Tvn24.pl – serwis informacyjny stacji telewizyjnej.,tvn24.pl
13,Instagram.com – należący do Facebooka serwis społecznościowy bazujący na współdzieleniu zdjęć i krótkich filmów.,instagram.com
14,Money.pl – serwis informacyjny dotyczący finansów i gospodarki,money.pl
15,Wyborcza.pl – portal informacyjny,wyborcza.pl
16,medonet.pl – medyczny serwis Onetu.,medonet.pl
17,Cda.pl – polski serwis streamingujący darmowe i płatne filmy.,cda.pl
18,Netflix.com – serwis do streamingu filmów i seriali.,netflix.com
19,Twitter.com – serwis społecznościowy polegający na mikroblogowaniu.,twitter.com
20,Pudelek.pl – internetowy serwis „plotkarski” należący do Wirtualnej Polski.,pudelek.pl
21,P…hub.com – serwis z filmami +18,p…hub.com
22,Ceneo.pl – należąca do Allegro porównywarka cen.,ceneo.pl
23,Vulcan.net.pl – serwis dotyczący usług elektronicznych dla edukacji.,vulcan.net.pl
24,Wykop.pl – polski serwis społecznościowy do mikroblogowania. Funkcjonalność zbliżona do dawnego Digg.,wykop.pl
25,Fakt.pl – portal informacyjny.,fakt.pl
26,Businessinsider.com.pl – strona z wiadomościami finansowymi,businessinsider.com.pl
27,Filmweb.pl – polski odpowiednik imdb.com,filmweb.pl
28,Otomoto.pl – należący do Allegro serwis z motoryzacyjnymi ogłoszeniami.,otomoto.pl
29,Naszemiasto.pl – sieć miejskich serwisów informacyjnych.,naszemiasto.pl
30,Se.pl – serwis informacyjny.,se.pl
31,Gov.pl – serwis Rzeczypospolitej Polskiej.,gov.pl
32,Sport.onet.pl – sportowa subdomena Onetu.,sport.onet.pl
33,Radiozet.pl – radiowy serwis informacyjny.,radiozet.pl
34,Ipko.pl – aplikacja internetowa i mobilna bankowości elektronicznej.,ipko.pl
35,Sport.pl – serwis o tematyce sportowej.,sport.pl
36,X…eos.com – strona z filmami +18.,x…eos.com
37,Tvp.pl – serwis informacyjny polskiej telewizji,tvp.pl
38,X….com – strona z filmami +18.,x….com
39,Arcgis.com – portal z danymi statystycznymi na mapach.,arcgis.com
40,Onenetwork.tv – serwis dostawcy reklam.,onenetwork.tv
41,Abczdrowie.pl – serwis medyczny.,abczdrowie.pl
42,Pomponik.pl – internetowy serwis „plotkarski” należący do grupy Interia.,pomponik.pl
43,Google.com.br – brazylijska wersja wyszukiwarki (?).,google.com.br
44,Plotek.pl – serwis plotkarski należący do grupy Gazeta.pl.,plotek.pl
45,Wprost.pl – portal z wiadomościami.,wprost.pl
46,Rmf24.pl – radiowy serwis informacyjny.,rmf24.pl
47,X…ster.com – strona z filmami+18.,x…ster.com
48,Mbank.pl – aplikacja bankowości elektronicznej.,mbank.pl
49,Worldometers.info – strona internetowa z danymi statystycznymi aktualizowanymi na żywo.,worldometers.info
50,Plejada.pl – serwis plotkarski.,plejada.pl
51,Messenger.com – domena aplikacji Messenger.,messenger.com
52,Pikio.pl – serwis informacyjny.,pikio.pl
53,Jbzdy.pl – serwis z memami.,jbzdy.pl
54,Bankier.pl – serwis z wiadomościami finansowymi.,bankier.pl
55,Office.com – strona pakietu MS Office.,office.com
56,Brainly.pl – edukacyjny serwis społecznościowy Q&A.,brainly.pl
57,Sport.Interia.pl – sportowy sub-serwis Interii.,sport.interia.pl
58,Gazetawroclawska.pl – serwis informacyjny.,gazetawroclawska.pl
59,Demotywatory.pl – serwis z memami.,demotywatory.pl
60,Maps.arcgis.com – sub-domena serwisu ze statystykami.,maps.arcgis.com
61,Mediaexpert.pl – sklep internetowy z Elektroniką i AGD.,mediaexpert.pl
62,Microsoft.com – serwis producenta oprogramowania.,microsoft.com
63,Tech.wp.pl – technologiczny pod-serwis Wirtualnej Polski.,tech.wp.pl
64,Ingbank.pl – bankowość elektroniczna.,ingbank.pl
65,Aliexpress.com – jeden z największych sklepów internetowych.,aliexpress.com
66,Joemonster.org – polska satyryczna strona internetowa.,joemonster.org
67,Dobreprogramy.pl – serwis komputerowy,dobreprogramy.pl
68,Gemius.pl – polska firma o zasięgu europejskim przeprowadzająca Internetowe badania statystyczne,gemius.pl
69,Dorzeczy.pl – polski serwis informacyjny tygodnika Do Rzeczy.,dorzeczy.pl
70,Euro.com.pl – sklep internetowy z Elektroniką i AGD.,euro.com.pl
71,Play.pl – witryna firmy telekomunikacyjnej.,play.pl
72,Finanse.wp.pl – finansowy serwis Wirtualnej Polski.,finanse.wp.pl
73,Pomorska.pl – wiadomości i wydarzenia z Kujaw i Pomorza.,pomorska.pl
74,Pepper.pl – strona z rabatami i okazjami.,pepper.pl
75,Pinterest.com – serwis społecznościowy ze zdjęciami.,pinterest.com
76,Komputerswiat.pl – serwis komputerowy.,komputerswiat.pl
77,Linkedin.com – biznesowy serwis społecznościowy.,linkedin.com
78,Telemagazyn.pl – strona z programem TV.,telemagazyn.pl
79,Gazetakrakowska.pl – serwis regionalnej gazety.,gazetakrakowska.pl
80,Mp.pl – serwis medyczny.,mp.pl
81,Centrum24.pl – bankowość elektroniczna dla Santander Bank.,centrum24.pl
82,Ing.pl – bankowość elektroniczna ING.,ing.pl
83,Yahoo.com – portal internetowy o zasięgu światowym.,yahoo.com
84,Natemat.pl – portal informacyjny.,natemat.pl
85,Player.pl – serwis ze streamingiem wideo.,player.pl
86,Gemius.com – międzynarodowa domena serwisu gemius.pl.,gemius.com
87,Twitch.tv – serwis do streamingu wideo (najczęściej gier).,twitch.tv
88,Microsoftonline.com – domena używana przez niektóre usługi Microsoft.,microsoftonline.com
89,Wpolityce.pl – polski serwis informacyjny.,wpolityce.pl
90,Poradnikzdrowie.pl – portal na temat zdrowia.,poradnikzdrowie.pl
91,Poczta-polska.pl – strona Poczty Polskiej.,poczta-polska.pl
92,Lelum.pl – portal skierowany głównie do kobiet.,lelum.pl
93,R…ube.com – strona z filmami +18.,r…ube.com
94,Pekao24.pl – bankowość elektroniczna.,pekao24.pl
95,Lotto.pl – serwis dla płacących tzw. „podatek od głupoty”.,lotto.pl
96,Niezalezna.pl – polski serwis informacyjny.,niezalezna.pl
97,Rp.pl – serwis internetowy dziennika Rzeczpospolita.,rp.pl
98,Inpost.pl – witryna kuriera i Paczkomatów InPost.,inpost.pl
